,case_number
2610,49D08-1902-GU-006605
2614,41D01-1906-GU-000098
2622,49D08-2309-GU-035907
2623,49D08-1902-GU-004326
2626,45D11-1609-GU-000011
2627,41D01-2403-GU-000049
2628,49D08-2308-GU-030643
2631,49D08-1901-GU-000871
2637,49D08-1908-GU-033839
2647,49D08-2306-GU-024013
2648,49D08-2212-GU-044507
2660,53C01-2304-GU-000055
2664,53C01-1906-GU-000085
2668,22C01-2312-GU-000112
2669,49D08-2312-GU-049107
2672,49D08-1905-GU-017707
2673,49D08-1902-GU-004625
2675,49D08-2310-GU-041446
2679,48C03-2311-GU-000583
2680,20C01-2306-GU-000065
2697,53C01-1907-GU-000102
2709,28C01-1609-GU-000026
2710,49D08-1901-GU-002436
2719,53C01-2307-GU-000117
2725,49D08-1903-GU-009970
2733,89D02-1907-GU-000085
2736,49D08-2307-GU-029910
2739,30D01-2401-GU-000005
2741,50C01-2302-GU-000012
2743,45D02-1901-GU-000003
2744,02D03-1903-GU-000050
2748,02D03-1903-GU-000056
2753,66C01-2303-GU-000001
2758,49D08-1907-GU-026520
2759,49D16-2303-GU-011133
2769,49D08-2311-GU-046193
2773,48C01-2306-GU-000292
2777,34D02-2401-GU-000005
2778,49D15-2308-GU-031512
2783,49D08-2309-GU-036844
2784,87D01-2309-GU-000056
2787,49D08-1901-GU-000487
2799,49D08-1903-GU-008425
2801,59C01-2301-GU-000008
2803,49D08-1905-GU-018692
2804,49D08-2305-GU-020261
2808,30D01-2404-GU-000028
2813,49D08-1906-GU-025372
2814,02D03-2305-GU-000155
2815,18C05-2309-GU-000117
2820,28C01-2211-GU-000036
2821,41D01-1610-GU-000159
2828,49D08-1903-GU-011701
2831,45C01-2402-GU-000041
2832,18C05-1904-GU-000056
2833,35C01-1603-GU-000007
2834,02D03-1903-GU-000040
2836,48C01-2308-GU-000390
2837,02D03-2301-GU-000025
2850,49D08-1907-GU-028192
2852,49D08-2212-GU-043465
2867,45C01-1808-GU-000166
2874,41D01-2301-GU-000004
2881,20D06-2401-GU-000005
2889,49D08-2311-GU-043781
2891,50C01-1712-GU-000052
2892,43D01-2305-GU-000017
2893,79C01-2312-GU-000146
2904,41D01-1909-GU-000171
2909,32D01-1904-GU-000055
2912,20D01-2107-GU-000134
2913,49D08-1909-GU-040007
2919,30D01-2305-GU-000033
2920,49D08-1903-GU-011108
2933,53C01-2312-GU-000192
2934,80C01-1904-GU-000009
2935,02D03-1903-GU-000042
2940,45D05-2207-GU-000202
2944,10C01-2308-GU-000098
2948,41D01-2401-GU-000014
2949,41D01-2301-GU-000013
2952,72C01-1908-GU-000027
2953,30C01-2310-GU-000059
2954,49D08-2212-GU-043863
2957,41D01-1903-GU-000041
2959,55C01-2312-GU-000069
2961,49D08-1806-GU-021486
2971,20D01-1908-GU-000150
2974,49D08-2308-GU-034329
2978,02D03-1904-GU-000057
2980,47C01-2304-GU-000030
2983,49D08-2401-GU-003795
2984,49D08-2307-GU-029410
2986,49D08-1910-GU-042848
2989,49D08-1901-GU-002831
2995,49D08-1907-GU-028737
2998,18C01-2212-GU-000167
2999,49D08-2301-GU-000115
3002,28C01-1905-GU-000016
3006,21D01-1902-GU-000006
3008,41D01-2304-GU-000059
3012,49D08-2309-GU-038147
3015,53C01-2307-GU-000114
3025,45C01-2310-GU-000265
3033,02D03-1907-GU-000118
3035,65D01-2311-GU-000021
3038,49D08-1901-GU-000405
3052,91C01-1903-GU-000009
3053,49D08-1906-GU-023715
3054,53C01-2303-GU-000045
3059,30D01-2402-GU-000015
3063,49D08-1908-GU-033183
3064,89D02-1905-GU-000070
3077,49D08-1907-GU-026964
3092,49D08-2212-GU-043540
3094,49D15-2108-GU-026168
3095,49D08-1907-GU-030691
3096,41D01-1910-GU-000184
3099,10C01-1904-GU-000051
3101,50C01-2303-GU-000023
3115,49D08-2304-GU-017267
3121,49D08-2305-GU-017887
3124,49D08-2310-GU-038610
3127,02D03-1907-GU-000139
3128,49D08-1811-GU-047342
3130,02D03-2306-GU-000183
3138,49D08-2304-GU-017447
3141,48C03-2403-GU-000104
3145,73C01-2312-GU-000063
3154,49D08-1908-GU-032825
3164,41D01-2308-GU-000121
3171,49D08-2212-GU-043815
3174,49D08-2312-GU-047017
3179,49D08-2304-GU-014517
3182,15C01-2303-GU-000011
3187,49D08-2304-GU-014089
3189,64D02-2303-GU-002394
3191,33C01-1803-GU-000015
3200,49D08-1906-GU-024187
3206,02D03-2402-GU-000034
3212,49D08-1906-GU-024956
3218,49D08-2103-GU-007766
3225,49D08-2301-GU-002036
3230,88D01-2401-GU-000002
3236,49D08-2301-GU-000160
3238,02D03-2309-GU-000286
3242,30D01-2309-GU-000058
3245,91C01-2103-GU-000004
3266,20C01-2306-GU-000084
3267,49D08-2309-GU-034561
3276,92C01-2302-GU-000004
3278,49D08-2310-GU-040176
3284,20D01-1904-GU-000066
3290,20D01-1903-GU-000055
3300,24C01-2309-GU-000527
3301,34C01-2305-GU-000061
3306,45D11-1901-GU-000001
3316,84D01-2309-GU-006314
3319,79C01-1907-GU-000061
3322,41D01-1904-GU-000071
3332,49D08-2303-GU-010825
3336,91C01-2206-GU-000031
3337,50C01-2302-GU-000017
3339,02D03-2305-GU-000157
3347,49D08-2312-GU-047284
3350,48C01-2307-GU-000379
3356,88D01-2307-GU-000033
3358,53C01-2212-GU-000149
3362,49D08-2305-GU-019368
3381,49D08-2310-GU-040972
3389,49D08-2312-GU-049358
3390,49D08-2306-GU-022217
3400,28C01-1903-GU-000004
3407,10C01-2308-GU-000097
3408,49D08-2307-GU-027793
3419,47C01-1909-GU-000066
3437,29D01-2403-GU-000044
3440,49D08-1905-GU-020980
3441,45C01-2311-GU-000309
3442,49D08-1904-GU-017306
3443,45C01-2308-GU-000199
3448,54D01-1806-GU-000022
3450,20D06-2312-GU-000158
3461,29D03-2306-GU-000109
3462,02D03-2303-GU-000077
3468,49D08-1905-GU-018288
3469,18C01-2301-GU-000011
3473,49D08-1903-GU-009753
3478,02D03-2309-GU-000289
3485,49D08-2301-GU-002035
3497,20C01-1902-GU-000021
3499,49D08-1908-GU-032091
3506,79C01-1906-GU-000054
3509,20D01-1904-GU-000070
3510,65D01-2312-GU-000022
3517,48C01-1903-GU-000138
3523,50C01-2401-GU-000005
3526,79C01-1904-GU-000035
3528,91C01-2106-GU-000016
3529,65D01-2310-GU-000017
3533,20D01-1903-GU-000048
3538,49D08-1901-GU-000938
3539,89D01-1909-GU-000110
3541,89C01-2309-GU-000088
3544,49D08-1903-GU-008514
3545,45D11-2312-GU-000317
3549,41D01-2308-GU-000139
3554,49D08-2309-GU-036312
3559,49D08-1906-GU-023074
3562,49D08-1902-GU-004554
3576,73C01-2308-GU-000035
3577,06D01-2310-GU-000071
3580,50C01-2301-GU-000005
3604,49D08-2310-GU-039406
3606,49D08-2309-GU-034661
3607,49D08-2301-GU-001269
3614,49D08-1907-GU-030323
3617,49D08-1905-GU-021266
3618,49D08-2301-GU-001575
3621,49D08-1907-GU-027046
3622,02D03-2312-GU-000343
3625,53C01-2305-GU-000079
3628,49D08-1908-GU-031829
3634,18C01-2403-GU-000030
3641,20D01-1907-GU-000139
3645,03C01-2306-GU-003247
3647,41D01-1905-GU-000082
3649,41D01-2302-GU-000023
3667,49D08-2310-GU-042569
3668,49D14-2302-GU-007878
3670,18C01-1907-GU-000099
3673,49D08-2302-GU-005833
3674,45D05-1905-GU-000147
3693,49D08-1904-GU-013225
3709,22C01-1908-GU-000073
3715,02D03-2308-GU-000250
3718,49D08-2212-GU-043957
3720,65D01-2008-GU-000015
3721,49D08-1905-GU-021237
3731,43D01-2309-GU-000047
3739,73C01-2306-GU-000022
3744,45D05-2006-GU-000117
3751,49D08-2311-GU-043787
3754,53C01-2304-GU-000053
3759,49D08-1909-GU-038575
3766,89D02-2310-GU-000100
3769,49D08-1908-GU-033923
3778,49D08-2307-GU-027963
3781,02D03-2306-GU-000164
3785,18C01-1906-GU-000084
3787,49D06-1904-GU-017473
3791,49D08-1903-GU-011976
3793,49D08-2404-GU-014641
3795,10C01-1909-GU-000135
3799,02D03-2401-GU-000026
3802,53C01-2311-GU-000174
3803,32D01-1910-GU-000110
3809,02D03-2309-GU-000291
3819,79C01-1906-GU-000058
3821,49D08-2309-GU-035479
3823,89D02-1908-GU-000100
3831,48C01-1904-GU-000202
3833,02D03-2308-GU-000243
3835,49D08-2305-GU-019167
3841,49D08-1906-GU-026162
3843,60C01-1903-GU-000009
3846,79C01-1907-GU-000062
3850,18C01-1908-GU-000114
3853,49D08-2312-GU-048661
3855,49D08-1904-GU-015669
3858,49D08-2303-GU-010721
3859,49D08-2401-GU-000905
3861,49D08-1908-GU-032734
3864,02D03-2304-GU-000117
3877,06D01-2306-GU-000039
3878,02D03-2301-GU-000001
3888,49D08-2306-GU-023715
3894,73C01-2306-GU-000021
3900,49D08-1904-GU-014618
3906,42C01-1908-GU-000051
3907,18C01-1901-GU-000005
3909,49D08-2311-GU-045070
3911,49D08-1908-GU-034056
3928,27D03-1906-GU-000050
3932,02D03-2305-GU-000137
3935,84D02-2402-GU-001014
3939,49D08-1906-GU-024381
3940,49D08-2401-GU-000904
3943,02D03-2311-GU-000327
3953,02D03-2303-GU-000093
3956,79C01-1905-GU-000044
